word,value
wondrously,5
delightfully,5
gorgeously,5
exceptionally,5
excellently,5
wonderfully,5
magnificently,5
spectacularly,5
flawlessly,5
scrumptiously,5
outstandingly,5
perfectly,5
marvelously,5
awesomely,5
divinely,5
breathtakingly,5
impeccably,5
exclusively,5
fabulously,5
adorably,5
brilliantly,5
amazingly,5
dazzlingly,5
incredibly,5
gloriously,5
terrifically,5
orgasmically,5
enjoyably,4
pleasingly,4
jubilantly,4
great,4
magically,4
handsomely,4
exuberantly,4
engagingly,4
elegantly,4
admirably,4
superbly,4
lovably,4
masterfully,4
ingeniously,4
splendidly,4
refreshingly,4
happily,4
endearingly,4
supremely,4
phenomenally,4
charmingly,4
innovatively,4
deliciously,4
miraculously,4
enchantingly,4
engrossingly,4
hilariously,4
beautifully,4
intelligently,4
joyously,4
attractively,4
exquisitely,4
jaw-droppingly,4
benevolently,4
radiantly,4
enthusiastically,4
rechargeable,4
immaculately,5
spotlessly,4
beautifuly,4
scenically,4
award-winning,5
fascinatingly,5
joyfully,4
blissfully,4
stupendously,5
majestically,4
eminently,4
epically,4
