word,value
ludicrous,-4
dreary,-4
abrasive,-4
acidic,-4
anal,-4
anal-retentive,-4
annoying,-4
banal,-4
booze-and-puke,-4
break-in,-4
crappy,-4
criminal,-4
crud,-4
cruel,-4
crummy,-4
damaging,-4
damn,-4
deluded,-4
devestating,-4
disheveled,-4
drugged-out,-4
drunk,-4
drunken,-4
gin-soaked,-4
grisly,-4
hostile,-4
idiotic,-4
inane,-4
insulting,-4
irritating,-4
lethal,-4
lifeless,-4
lousy,-4
ludicrously-priced,-4
malicious,-4
malevolent,-4
mournful,-4
murderous,-4
nauseous,-4
notorious,-4
obscene,-4
painful,-4
pathetic,-4
perverse,-4
pitiful,-4
pointless,-4
preposterous,-4
sharp-tongued,-4
snotty-nosed,-4
stressed-out,-4
stupid,-4
tabloid,-4
tortured,-4
unacceptable,-4
unstable,-4
unsympathetic,-4
unusable,-4
unwashable,-4
useless,-4
vengeful,-4
worthless,-4
write-off,-4
inexcusable,-4
psychotic,-4
diabolical,-4
profane,-4
scatological,-4
worse,-4
monstrous,-4
cheap-o,-4
egregious,-4
fourth-rate,-4
exploitative,-4
pathological,-4
pornographic,-4
quasi-fascist,-4
revolting,-4
pedantic,-4
fucking,-4
outraged,-4
treacherous,-4
toxic,-4
ruinous,-4
malignant,-4
infested,-4
cancerous,-4
authoritarian,-4
woeful,-4
vile,-4
unthinkable,-4
tyrannical,-4
treasonous,-4
traitorous,-4
torturous,-4
tormented,-4
seething,-4
scathing,-4
reviled,-4
repugnant,-4
reprehensible,-4
puny,-4
perfidious,-4
mortifying,-4
irredeemable,-4
intolerable,-4
insufferable,-4
insidious,-4
infuriated,-4
humiliating,-4
furious,-4
fetid,-4
exorbitant,-4
enraged,-4
earsplitting,-4
distraught,-4
disgraced,-4
destitute,-4
despotic,-4
contemptible,-4
calumnious,-4
blasphemous,-4
belligerent,-4
appalled,-4
abysmal,-4
abusive,-5
agonizing,-5
apocalyptic,-5
appalling,-5
astronomically-priced,-5
atrocious,-5
awful,-5
brutal,-5
bubble-butt,-5
catastrophic,-5
delusional,-5
deplorable,-5
detestable,-5
disasterous,-5
diseased,-5
disgusting,-5
dismal,-5
dreadful,-5
evil,-5
excruciating,-5
fatal,-5
filthy,-5
foul,-5
ghastly,-5
grievous,-5
grotesque,-5
hateful,-5
headache-inducing,-5
hideous,-5
horrendous,-5
horrible,-5
horrid,-5
horrific,-5
horrifying,-5
loathsome,-5
miserable,-5
nasty,-5
racist,-5
rancid,-5
repulsive,-5
satanic,-5
sickening,-5
snot-crusted,-5
terrible,-5
ugly,-5
unforgivable,-5
unlistenable,-5
unlisteneable,-5
venomous,-5
vicious,-5
wicked,-5
wretched,-5
execrable,-5
depraved,-5
deranged,-5
worst,-5
godawful,-5
talent-impaired,-5
disasterous,-5
despised,-5
despicable,-5
aghast,-5
abominable,-5
abhorrent,-5
abhorred,-5
